model,source,feature_extraction_ms,inference_ms,total_ms
SVM (RBF),saved,10.699399979785085,1.0859000030905008,11.785299982875586
SVM (RBF),saved,13.632499962113798,1.0872000129893422,14.71969997510314
SVM (RBF),saved,10.86299994494766,1.13950006198138,12.00250000692904
SVM (RBF),saved,12.21279997844249,0.9924001060426235,13.205200084485114
SVM (RBF),saved,11.845699977129698,1.500600017607212,13.34629999473691
SVM (RBF),saved,11.115400004200637,1.0708000045269728,12.18620000872761
SVM (RBF),saved,12.651899945922196,1.065900083631277,13.717800029553473
SVM (RBF),saved,12.022900045849383,0.9948000079020858,13.017700053751469
SVM (RBF),saved,13.02909990772605,0.9848000481724739,14.013899955898523
SVM (RBF),saved,11.246599955484271,1.5030000358819962,12.749599991366267
SVM (RBF),saved,12.971499934792519,0.9844000451266766,13.955899979919195
SVM (RBF),saved,12.741100043058395,0.9847000474110246,13.72580009046942
SVM (RBF),saved,10.949900024570525,0.9438999695703387,11.893799994140863
SVM (RBF),saved,11.074800044298172,1.206299988552928,12.2811000328511
SVM (RBF),saved,10.716999997384846,0.8966999594122171,11.613699956797063
SVM (RBF),saved,12.30159995611757,1.3743999879807234,13.675999944098294
SVM (RBF),saved,11.632299982011318,0.9568000677973032,12.589100049808621
K-NN,saved,12.055999948643148,7.904700003564358,19.960699952207506
K-NN,saved,13.275900040753186,9.154299972578883,22.43020001333207
K-NN,saved,18.324699951335788,7.81860004644841,26.143299997784197
K-NN,saved,11.604700004681945,8.170700049959123,19.775400054641068
K-NN,saved,13.813699944876134,9.106800076551735,22.92050002142787
